[0.007s] Invoking command in '/home/szeyuan/Desktop/ros/ros_ws/build/ros2_control_demo_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/szeyuan/Desktop/ros/ros_ws/build/ros2_control_demo_description -- -j16 -l16
[0.029s] Invoked command in '/home/szeyuan/Desktop/ros/ros_ws/build/ros2_control_demo_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/szeyuan/Desktop/ros/ros_ws/build/ros2_control_demo_description -- -j16 -l16
[0.047s] Invoking command in '/home/szeyuan/Desktop/ros/ros_ws/build/ros2_control_demo_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/szeyuan/Desktop/ros/ros_ws/build/ros2_control_demo_description
[0.051s] -- Install configuration: ""
[0.052s] -- Execute custom install script
[0.052s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/rrbot/urdf/rrbot.materials.xacro
[0.052s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/rrbot/urdf/rrbot_description.urdf.xacro
[0.052s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/rrbot/rviz/rrbot.rviz
[0.052s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/diffbot/urdf/diffbot.materials.xacro
[0.052s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/diffbot/urdf/diffbot_description.urdf.xacro
[0.052s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/diffbot/rviz/diffbot.rviz
[0.052s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/diffbot/rviz/diffbot_view.rviz
[0.053s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/carlikebot/urdf/carlikebot.materials.xacro
[0.053s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/carlikebot/urdf/carlikebot_description.urdf.xacro
[0.053s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/carlikebot/rviz/carlikebot.rviz
[0.053s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/carlikebot/rviz/carlikebot_view.rviz
[0.053s] -- Up-to-date symlink: /home/szeyuan/Desktop/ros/ros_ws/install/ros2_control_demo_description/share/ros2_control_demo_description/r6bot/meshes/collision/link_0.stl
